,song_title,song_spotify_id,artists,date_gathered,popularity,album_name,album_release_date,album_spotify_id
34,BREAK MY SOUL,2KukL7UlQ8TdvpaA7bY3ZJ,Beyoncé,2024-03-26,67,BREAK MY SOUL,2022-06-21,5JgCaA43ECaGeqbPEo6WUP
35,Flawless Remix (feat. Nicki Minaj),0zVMzJ37VQNFUNvdxxat2E,"Beyoncé, Nicki Minaj",2024-03-26,64,BEYONCÉ [Platinum Edition],2014-11-24,2UJwKSBUz6rtW4QLK74kQu
36,Hold Up,0rzNMzZsubFcXSEh7dnem7,Beyoncé,2024-03-26,68,Lemonade,2016-04-23,7dK54iZuOxXFarGhXwEXfF
37,Yoncé - Homecoming Live,6UjGaeKbCidE98bpLgwIym,Beyoncé,2024-03-26,52,HOMECOMING: THE LIVE ALBUM,2019-04-17,35S1JCj5paIfElT2GODl6x
38,Run the World (Girls),3oOWBUNbwHZkWF2WND4kK2,Beyoncé,2024-03-26,50,4,2011,6sUoihv7EBflLLP4VriHUe
39,Drunk in Love Remix (feat. Jay-Z & Kanye West),0FZmAvivvifvtN3pZScbw1,"Beyoncé, JAY-Z, Kanye West",2024-03-26,65,BEYONCÉ [Platinum Edition],2014-11-24,2UJwKSBUz6rtW4QLK74kQu
40,End of Time,484AD8Fm0KZh3zd2HFi1Mp,Beyoncé,2024-03-26,36,4,2011,6sUoihv7EBflLLP4VriHUe
41,MY POWER,7ia5l12mCvbQTeAnG1oYpg,"Nija, Beyoncé, Busiswa, Yemi Alade, Tierra Whack, Moonchild Sanelly, DJ Lag",2024-03-26,63,The Lion King: The Gift,2019-07-19,552zi1M53PQAX5OH4FIdTx
42,BREAK MY SOUL,2KukL7UlQ8TdvpaA7bY3ZJ,Beyoncé,2024-03-26,67,BREAK MY SOUL,2022-06-21,5JgCaA43ECaGeqbPEo6WUP
43,6 Inch (feat. The Weeknd),0pxNyJJiL2zZZ5GgJ4JhsQ,"Beyoncé, The Weeknd",2024-03-26,63,Lemonade,2016-04-23,7dK54iZuOxXFarGhXwEXfF
44,Sweet Dreams,3wrXItG1dxGdjxLeMesjCU,Beyoncé,2024-03-26,26,Sweet Dreams,2009-07-16,4ygnAuWL9T189qkWwDYjLl
45,Get Me Bodied,7LWbC1x1fd6IPHUu9yzzwE,Beyoncé,2024-03-26,11,B'Day,2006-08-29,3MJHoQUI828kmB6IpjejbW
46,Best Thing I Never Had,20BubhRYSjCIchDA4O9wNK,Beyoncé,2024-03-26,47,4,2011,6sUoihv7EBflLLP4VriHUe
