,rank,song_title,song_spotify_id,artists,date_gathered,popularity,album_name,album_release_date,album_spotify_id
34,35,Huwag Na Huwag Mong Sasabihin,4mOjjXKDOR1sel6APULUaN,Kitchie Nadal,2024-03-26,72,Kitchie Nadal,2004-01-01,7beVKW0o7iRoM0eRT3kGfk
35,36,Ikaw Lang,16iRlyUMJVPqz62DlomMre,NOBITA,2024-03-26,75,Ikaw Lang,2020-06-12,1nft8RTZE2QYeDPPNEnCBx
36,37,PAREHAS TAYO,6KDLUcxVRvXIXMexgf9x9b,Nateman,2024-03-26,76,PAREHAS TAYO,2023-10-13,3as5iLN6ugZO7Kz4xVaHdk
37,38,Lagabog,0pZ1RKuQnKK3TetoSHyx7i,"Skusta Clee, Illest Morena",2024-03-26,75,Lagabog,2023-12-16,2eTeeKM6MBnbU67LAlPRqC
38,39,We Made It,00h9iBIZPHjHAVoNzKHIOz,"Nik Makino, Flow G",2024-03-26,77,We Made It,2024-01-01,2vd0mHXPGNEfvYK9PY5U2H
39,40,Hanggang Kailan - Umuwi Ka Na Baby,69u8qQcaA3o0A7Ko87juqp,Orange & Lemons,2024-03-26,74,Strike Whilst the Iron Is Hot,2005-03-24,1Pjond44g3GY0emy3LfcCl
40,41,Lover,1dGr1c8CrMLDpV6mPbImSI,Taylor Swift,2024-03-26,91,Lover,2019-08-23,1NAmidJlEaVgA3MpcPFYGq
41,42,greedy,3rUGC1vUpkDG9CZFHMur1t,Tate McRae,2024-03-26,97,greedy,2023-09-15,3UOV8XvCwMKaATRNXrYCjN
42,43,ERE,2BLdelIp46CHvKkyWeqZHL,juan karlos,2024-03-26,68,Sad Songs and Bullshit Part 1,2023-09-22,7H0mDAUmK6BUuGZCy10kcv
43,44,14,7KD8oUUpidul2ROxTIhPAw,Silent Sanctuary,2024-03-26,65,Fuchsiang Pag-Ibig,2007-01-01,6MC4GloSqK2sSTLeYImDV3
44,45,Gusto,0uemlnPoeZOYIDaMFZ7lvi,"Zack Tabudlo, Al James",2024-03-26,68,3rd Time’s A Charm,2023-11-17,5bWsdwr9OileEY1gHx1Do3
45,46,Mahika,2nqlM3gNBMi5Zf9MDzp2Xi,"Adie, Janine Berdin",2024-03-26,70,Senaryo,2023-12-15,5UNDk7qptf3EtMNoIh3w0k
46,47,Raining In Manila,0mtkRIAOueeXqHpyahIbtJ,Lola Amour,2024-03-26,76,Raining In Manila,2023-06-14,3F0QPdZE5LgQuJgSpiWsvy
47,48,Kung Wala Ka,4he4CYDhvSPTxQc0e0Le1L,Hale,2024-03-26,71,Hale,2005,3rYydzqOp83YUYh4EXjrbk
48,49,Best Part (feat. H.E.R.),1RMJOxR6GRPsBHL8qeC2ux,"Daniel Caesar, H.E.R.",2024-03-26,85,Freudian,2017-08-25,3xybjP7r2VsWzwvDQipdM0
49,50,"yes, and?",5D34wRmbFS29AjtTOP2QJe,Ariana Grande,2024-03-26,86,eternal sunshine,2024-03-08,5EYKrEDnKhhcNxGedaRQeK
